源系统,源系统负责人,数据需求,对象类型,"数据库对象编码
（数据库.表、数据库.视图...）",数据库对象名称,字段需求（包含）,计划完成时间,实际完成时间,授权状态,"需求
提出人","入湖
负责人",开发复核负责人,备注,用户数据需求问题,用户数据需求问题反馈,中台ods表名,全量/增量,源系统抽取条件,增量方式,更新频率,任务,同步父任务流,"测试环境数据量
（同时标注时长超过5分钟的）"
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,"条件（事务数据）
RFC逻辑：
条件类型KSCHL in ('XR01','ZR01','ZD00')--整单价，含税价，运费
 - 入参：起始日期~终止日期（取更改日期VBAK.AEDAT，VBAK-AEDAT为空时，以创建日期ERDAT为增量日期。）、条件类型（取条件类型KONV.KSCHL）
  - 当VBAK.AEDAT满足入参范围，将相应的VBAK.KNUMV关联KONV.KNUMV，返回KNOV数据。VBAK-AEDAT为空时，以创建日期ERDAT为增量日期。",RFC,"KONV（簇表）
ZHONE_GET_KONV_SO
【IV_FLAG】增量查询、条件查询，输入默认值'X'。
若IV_FLAG=空，则查VBAK.ERDAT、VBAK.AEDAT满足以下日期区间数据
IV_ERDAT_F：起始日期
IV_ERDAT_T：截止日期

若IV_FLAG=X，则按以下表输入单号查询
IT_VBELN","条件（事务数据）
销售订单价格条件","初始化任务：
ods_sap_erp_zhone_get_konv_so_di_full
IV_ERDAT_F：20130101
IV_ERDAT_T：至今
（试下能不能一次性，不能就按年循环）

增量任务：
ods_sap_erp_zhone_get_konv_so_di
IV_ERDAT_F：day-10
IV_ERDAT_T：至今",2025-12-03 00:00:00,2025-12-11 00:00:00,已入湖（测试）,"邵炜杰
陈迎颖",蔡岸榕,,"采购价格可以通过ekko、ekpo综合判断，不需要关联konv表
销售订单价格类型需要",,,,,,,,,,4852106
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料采购价,RFC,"ZHONE_MAT_PURCHASE_PRICE_GET
IT_WERKS.ZSWERKS.：1010,2020,1050,B010",物料采购价格,,2025-11-21 00:00:00,2025-11-27 00:00:00,已入湖（测试）,邵炜杰,饶嘉璇,刘洋,"飞虎建议后续考虑物料入参
需咨询下数据增长情况",,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,BOM 链接物料,表,MAST,BOM 链接物料,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,蔡岸榕,,,,,,,,,,,165211
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,BOM 链的销售订单,表,KDST,BOM 链的销售订单,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,饶嘉璇,,,,,,,,,,,1855401
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,BOM 项目,表,STPO,BOM 项目,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,饶嘉璇,是否考虑只取部分字段,,,,,,,,,,17848081
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,STKO【BOM表头】,表,STKO,,,2025-11-19 00:00:00,2025-11-19 00:00:00,已入湖（测试）,陈迎颖,谭程俊,刘洋,,,,ods_sap_erp_stko_df,全量,MANDT='800',,t+1,ods_sap_erp_stko_df,,2019394
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,条件（项目）,表,KONP,条件（项目）,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,饶嘉璇,,,,,,,,,,,463052
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料的计量单位,表,MARM,物料的计量单位,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,蔡岸榕,饶嘉璇,,,,,,,,,,,536922
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,凭证段：物料,表,MSEG,物料凭证明细行表,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,饶嘉璇,该表后续要考虑分区、增量抽取，优化分区分桶存储格式,,,,,,,,,,24595129
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,产品/模组类型,表,ZPP019M,产品 / 模组类型,,2025-11-17 00:00:00,,已入湖（开发复核通过）,陈迎颖,李朝中,赵彦,,,,,,,,,,,61572
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,型号与物料编码对应关系,表,ZMATNR_TYPE,型号与物料编码对应关系,,2025-11-17 00:00:00,,已入湖（开发复核通过）,陈迎颖,李朝中,赵彦,,,,,,,,,,,3305
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售订单新增付款方式使用,表,ZSDFKFS,销售订单新增付款方式使用,,2025-11-17 00:00:00,,已入湖（开发复核通过）,陈迎颖,李朝中,赵彦,,,,,,,,,,,209424
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,物料产品主推类型配置表,表,ZTMM005,物料产品主推类型配置表,,2025-11-17 00:00:00,,已入湖（开发复核通过）,陈迎颖,李朝中,赵彦,,,,,,,,,,,1100
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,推送产品类型分类,表,ZTCPLX,推送产品分类,,2025-11-17 00:00:00,,已入湖（开发复核通过）,陈迎颖,李朝中,赵彦,,,,,,,,,,,388
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,HR 主记录: 信息类型 0002 (人员数据),表,PA0002,HR主记录：信息类型0002（人员数据）,,2025-11-17 00:00:00,,已入湖（开发复核通过）,陈迎颖,李朝中,赵彦,,,,,,,,,,,3921
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售组描述,表,ZTVGRT,销售组描述,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,326
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,深圳洲明显示：雇员部门基础数据,表,ZSDEMP,深圳洲明显示：雇员部门基础数据,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,1263
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,国家名,表,T005T,国家 / 地区配置表,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,951
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,ZPP019 生产任务单 表头,表,ZPP019_H,生产任务单头表,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,61761
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,国际订单存量信息,表,ZSD_CLXX_GJ,国际订单存量信息,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,22925
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,订单抛转信息,表,ZSD068VA,订单抛转信息,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,80510
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,渠道新抛转：销售订单抛转信息,表,ZSD124VA,渠道新抛转：销售订单抛转信息,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,8808
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售凭证 ： 业务数据,表,VBKD,销售凭证：业务数据,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,351501
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,汇率,表,TCURR,汇率表,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,谭程俊,,,,,,,,,,,15523
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,汇率转换因子,表,TCURF,汇率转换因子,,2025-12-03 00:00:00,,已入湖（测试）,邵炜杰,李朝中,,,,,ods_sap_erp_tcurf_df,全量,MANDT='800',,,ods_sap_erp_tcurf_df,,752
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售凭证流,表,VBFA,销售凭证流,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,饶嘉璇,,,,,,,,,,,5071505
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售凭证 ： 项目状态,表,VBUP,销售凭证：项目状态,,2025-11-17 00:00:00,,已入湖（测试）,陈迎颖,李朝中,饶嘉璇,,,,,,,,,,,2088279
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,公司代码,表,T001,公司代码,,2025-11-14 00:00:00,2025-11-12 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_t001_df,全量,MANDT='800',,t+1,ods_sap_erp_t001_df,,115
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售机构,表,TVKO,机构单位：销售机构,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvko_df,全量,MANDT='800',,t+1,ods_sap_erp_tvko_df,,57
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售机构：文本,表,TVKOT,机构单位：销售机构：文本,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvkot_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkot_df,,58
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：分销渠道,表,TVTW,机构单位：分销渠道,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvtw_df,全量,MANDT='800',,t+1,ods_sap_erp_tvtw_df,,11
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：分销渠道：文本,表,TVTWT,机构单位：分销渠道：文本,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvtwt_df,全量,MANDT='800',,t+1,ods_sap_erp_tvtwt_df,,13
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售产品组,表,TSPA,机构单位：销售产品组,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tspa_df,全量,MANDT='800',,t+1,ods_sap_erp_tspa_df,,13
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,组织单位: 销售分部: 文本,表,TSPAT,组织单位: 销售分部: 文本,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tspat_df,全量,MANDT='800',,t+1,ods_sap_erp_tspat_df,,15
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售办公室,表,TVBUR,机构单位：销售办公室,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvbut_df,全量,MANDT='800',,t+1,ods_sap_erp_tvbut_df,,98
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售办公室：文本,表,TVKBT,机构单位：销售办公室：文本,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvkbt_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkbt_df,,100
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售组,表,TVKGR,机构单位：销售组,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvkgr_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkgr_df,,369
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,组织单位: 销售组: 文本,表,TVGRT,组织单位: 销售组: 文本,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvgrt_df,全量,MANDT='800',,t+1,ods_sap_erp_tvgrt_df,,371
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,组织单位：每一销售机构的分销渠道,表,TVKOV,组织单位：每一销售机构的分销渠道,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvkov_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkov_df,,230
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售机构产品组,表,TVKOS,机构单位：销售机构产品组,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（开发复核通过）,邵炜杰,谭程俊,赵彦,,,,ods_sap_erp_tvkos_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkos_df,,324
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售范围,表,TVTA,机构单位：销售范围,,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,谭程俊,蔡岸榕,,,,ods_sap_erp_tvta_df,全量,MANDT='800',,t+1,ods_sap_erp_tvta_df,,605
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售办公室 ： 分配机构单元,表,TVKBZ,机构单位：销售办公室 ： 分配机构单元,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,蔡岸榕,,,,ods_sap_erp_tvkbz_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkbz_df,,4810
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位：销售办公室的销售小组数,表,TVBVK,机构单位：销售办公室的销售小组数,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,蔡岸榕,,,,ods_sap_erp_tvbvk_df,全量,MANDT='800',,t+1,ods_sap_erp_tvbvk_df,,405
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,机构单位： 每个销售机构允许的工厂数,表,TVKWZ,机构单位： 每个销售机构允许的工厂数,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,蔡岸榕,,,,ods_sap_erp_tvkwz_df,全量,MANDT='800',,t+1,ods_sap_erp_tvkwz_df,,430
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,工厂/分支机构,表,T001W,工厂/分支机构,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,蔡岸榕,,,,ods_sap_erp_t001w_df,全量,MANDT='800',,t+1,ods_sap_erp_t001w_df,,86
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,采购组织,表,T024E,采购组织,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,蔡岸榕,,,,ods_sap_erp_t024e_df,全量,MANDT='800',,t+1,ods_sap_erp_t024e_df,,56
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,工厂的有效采购组织,表,T024W,工厂的有效采购组织,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,李朝中,,,,ods_sap_erp_t024w_df,全量,MANDT='800',,t+1,ods_sap_erp_t024w_df,,89
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,评估范围,表,T001K,评估范围,,2025-11-14 00:00:00,2025-11-14 00:00:00,已入湖（测试）,邵炜杰,谭程俊,李朝中,,,,ods_sap_erp_t001k_df,全量,MANDT='800',,t+1,ods_sap_erp_t001k_df,,86
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,"交货单抬头长文本
销售订单抬头长文本",RFC,"ZHONE_TEXT_GET
TABNAME：VBBK
TDID：Y002,0001,0004,Z004,Z008,Z009
ERDAT_F：20130101
ERDAT_T：至今

会存在text为空的数据","交货单抬头长文本
销售订单抬头长文本","VBBK	Y002	收货地址
VBBK	0001	项目名称
VBBK	0004	付款方式
VBBK	Z004	业绩分配说明
VBBK	Z008	质保期 
VBBK	Z009	制单员 ",2025-11-17 00:00:00,2025-11-17 00:00:00,已入湖（测试）,陈迎颖,"谭程俊
饶嘉璇",刘洋,"增量，取10天前
表名：
ods_sap_erp_zhone_text_get_vbbk_di
任务名，加后缀：
di_full  20130101 当前时间
di：当前时间-10 当前时间
（insert_dt数据仓库更新时间）",,,ods_sap_erp_zhone_text_get_vbbk_di,全量,,,t+1,ods_sap_erp_zhone_text_get_vbbk_di,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,获取基本计量单位换算表,RFC,ZHONE_UNIT_CONVERSION_GET,ET_DATA,zhsxs=umrez/umren,2025-11-14 00:00:00,2025-11-13 00:00:00,已入湖（测试）,邵炜杰,饶嘉璇,李朝中,,,,,,,,,,,218
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,组中数据,表,SETLEAF,组中数据,,2025-11-17 00:00:00,2025-11-14 00:00:00,已入湖（测试）,陈迎颖,谭程俊,李朝中,,,,ods_sap_erp_setleaf_df,全量,MANDT='800',,t+1,ods_sap_erp_setleaf_df,,20080
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售副中心转换,表,ZSUBCENTER_TRANS,销售副中心转换,,2025-11-17 00:00:00,2025-11-14 00:00:00,已入湖（测试）,陈迎颖,谭程俊,李朝中,,,,ods_sap_erp_zsubcenter_trans_df,全量,MANDT='800',,t+1,ods_sap_erp_zsubcenter_trans_df,,9
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售订单分类,表,ZPROVINCE_TRANS,销售订单分类,,2025-11-17 00:00:00,2025-11-14 00:00:00,已入湖（测试）,陈迎颖,谭程俊,李朝中,,,,ods_sap_erp_zprovince_trans_df,全量,MANDT='800',,t+1,ods_sap_erp_zprovince_trans_df,,68
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售订单分类,表,ZSDTYPE_TRANS,销售订单分类,,2025-11-17 00:00:00,2025-11-14 00:00:00,已入湖（测试）,陈迎颖,谭程俊,李朝中,,,,ods_sap_erp_zsdtype_trans_df,全量,MANDT='800',,t+1,ods_sap_erp_zsdtype_trans_df,,290
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,销售组织分类,表,ZSALES_COM,销售组织分类,,2025-11-17 00:00:00,2025-11-14 00:00:00,已入湖（测试）,陈迎颖,谭程俊,李朝中,,,,ods_sap_erp_zsales_com_df,全量,MANDT='800',,t+1,ods_sap_erp_zsales_com_df,,13
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,成本中心主数据,表,CSKS,成本中心主数据,,2025-11-21 00:00:00,2025-11-20 00:00:00,已入湖（测试）,陈迎颖,谭程俊,李朝中,,,,ods_sap_erp_csks_df,全量,MANDT='800',,t+1,ods_sap_erp_csks_df,,4821
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,登录数据（核心方使用）,表,USR02,登录数据（核心方使用）,,2025-11-21 00:00:00,2025-11-20 00:00:00,已入湖（测试）,许凯文,谭程俊,李朝中,,,,ods_sap_erp_usr02_df,全量,MANDT='800',,t+1,ods_sap_erp_usr02_df,,421
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,API,,,,,,暂时用不到,吴美琪,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,收入毛利表,表,ZTFI057,收入毛利表,公司代码范围：1000，2000，6000，7000，7200，8200，8300，8400，8500，8600，A100，A400，B000，由SAP开发每日调度更新到SAP表（ZTFI057），中台直接对接表数据，每日更新，更新当月数据,2025-12-09 00:00:00,2025-12-11 00:00:00,已入湖（测试）,吴美琪,蔡岸榕,,,,,,,,,,,,31
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,成本中心文本,表,CSKT,成本中心文本,,2025-12-02 00:00:00,2025-12-02 00:00:00,已入湖（测试）,陈迎颖,谭程俊,,,,,,全量,MANDT='800',,t+1,ods_sap_erp_cskt_df,,4839
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,订单类型文本,表,TVAKT,auart订单类型文本,,2025-12-05 00:00:00,2025-12-03 00:00:00,已入湖（测试）,陈迎颖,蔡岸榕,,,,,,,,,,,,446
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,标准BOM,RFC,ZHONE_GET_MAT_BOM,,详见https://u0vocx8xrmg.feishu.cn/sheets/N6KysSIynhNS0ftZPNrcLU15nDh?sheet=7HEXp0,2025-12-05 00:00:00,,已授权（测试环境）,邵炜杰,饶嘉璇,,不急，有待办事项,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,获取汇联易单号跟生成的凭证号的对应关系,表,ZSAP_OA,资金管理付款凭证与0A单号对应表,,2025-12-05 00:00:00,2025-12-03 00:00:00,已入湖（测试）,陈迎颖,蔡岸榕,,,,,,,,,,,,273398
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,订单BOM,RFC,ZHONE_GET_KND_BOM,,"详见
https://u0vocx8xrmg.feishu.cn/sheets/N6KysSIynhNS0ftZPNrcLU15nDh?sheet=9CQZ9o",2025-12-05 00:00:00,,已授权（测试环境）,邵炜杰,饶嘉璇,,不急，有待办事项,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,业务范围描述,表,TGSBT,,,2025-12-12 00:00:00,2025-12-11 00:00:00,已入湖（测试）,吴美琪,蔡岸榕,,,,,,,,,,,,126
"SAP-ERP
(SAPPRD)
集团号：800",熊生压,学术头衔（办公地址服务）（账号类型）,表,TSAD2,,,,,已授权（测试&生产环境）,,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,,,,,,,,未开始,吴美琪,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,发票抬头,表,VBRK,,,2025-12-17 00:00:00,,已入湖（测试）,吴美琪,李朝中,,,,,ods_sap_erp_vbrk_df,全量,MANDT='800',,,ods_sap_erp_vbrk_df,,333081
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,发票行项目,表,VBRP,,,2025-12-17 00:00:00,,已入湖（测试）,吴美琪,李朝中,,,,,ods_sap_erp_vbrp_df,全量,MANDT='800',,,ods_sap_erp_vbrp_df,,954278
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,会计核算凭证,表,BSEG,簇表,"筛选条件：
① SAKNR=''select * from ska1 as a join skat as b on a.saknr=b.saknr where b.ktopl =1000 and a.ktoks='06' and spras='1'
② ",2025-12-19 00:00:00,,未开始,吴美琪,,,,,,,,,,,,,
"SAP-ERP
(SAPPRD)
集团号：800",刘飞虎,取事业部描述,表,ZTFICO001,,,2025-12-19 00:00:00,,未开始,陈迎颖,,,,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,用户表,视图,USER_ADDR,,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,"缺少状态字段（是否禁用、是否启用）
表里没有USR02-UFLAG这个字段","USR02-UFLAG
新增USR02表授权
禁用标识释义：
0：未锁定
32：被管理员全局锁定
64：被管理员本地锁定
128：因不正确登录（限制条款）而被锁定",,,,,,,,49
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,角色表,表,AGR_DEFINE,角色定义,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,2156
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,用户角色关联表,表,AGR_USERS,角色用户关联表,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,2155
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,用户角色关联表,表,UJE_TEAM_AGR,角色团体关联表,,2025-10-31 00:00:00,2025-11-06 00:00:00,已入湖（测试）,许凯文,蔡岸榕,李朝中,,,,,,,,,,,366
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,个人（办公地址管理）,表,ADRP,个人（办公地址管理）,,,,暂时用不到,,,,,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,个人/地址分配 (业务地址服务),表,ADCP,个人/地址分配 (业务地址服务),,,,暂时用不到,,,,,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",熊生压,分配用户名称地址码,表,USR21,分配用户名称地址码,,,,暂时用不到,,,,,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,实际费用query,表,/BIC/AZDWFID012,,"只取left(a.u_account,1) IN ('F','L','V','E','P')的数据",2025-11-28 00:00:00,,已入湖（测试）,陈迎颖,李朝中,饶嘉璇,,,,ods_sap_bpc_bic_azdwfid012_df,全量,,,T+1,ods_sap_bpc_bic_azdwfid012_df,,2564565
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取实际费用手工调整数,表,"B0501→【费用实际数查看表_区分销管研制-按成本中心列式】
预算编制流程/全融合_汇总/实际数查看流程",费用实际数查看表,"U PROJECT: IDES(项目合计)
U ACCOUNT:IDES(SAP费用科目合计)
U CATEGORY:实际数手工调整(股份支付+辞退补偿金调整)、实际数调整后（ACT01+ACT02+ACT04+ACT05）、实际版（SAP）
U CURRENCY:人民币
U CUSTOMER: 客户缺省
U ENTITY:IDES(全融合 汇总)
U MATERIAL: 物料缺省
U MISC1:预算编制不区分
U MISC2:无产品(禁止录入数据)
U PRODUCT: 产品缺省
U SPARE1:预算备用维
U SPARE2:备用维2缺省
U TIME: BASE(2025.Total)
MEASURS：Periodic",,,,陈迎颖,,,(ACT05),,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取实际费用手工调整后数,RFC,"ZHONE_GET_MODEL_DATA_02
入参：从2024年开始取数
IV_ZID：U_001
IT_DATA：
① DIMENSION：U_TIME
ATTRIBUTE：BAS
VALUE：入参年.Total
② DIMENSION：U_CATEGORY
ATTRIBUTE：ID
VALUE：ACT03",B0501-费用实际数查看表_区分管销研制-按成本中心列示（实际数调整后）,"配置表信息：
U_ACCOUNT:HIE(TotalExpenses02)
U_CURRENCY:ID(CNY)
U_CUSTOMER:ID(CS_NONE)
U_ENTITY:HIE(GBG01_Total)
U_MATERIAL:ID(M_NONE)
U_MISC1:ID(MISC1_NONE)
U_MISC2:ID(MISC2_NONE)
U_PRODUCT:ID(PROD_NONE)
U_PROJECT:HIE(PJ_ALL)
U_SPARE1:ID(SP1_NONE)
U_SPARE2:ID(SP2_NONE)",2025-11-28 00:00:00,,已授权（生产环境）,陈迎颖,饶嘉璇,,,,,,,,,,,,
"SAP-BPC
(SAPHANADB)
集团号：700
仅对接生产",刘飞虎,获取实际费用手工调整数,RFC,"ZHONE_GET_MODEL_DATA_02
入参：从2024年开始取数
IV_ZID：U_001
IT_DATA：
① DIMENSION：U_TIME
ATTRIBUTE：BAS
VALUE：入参年.Total
② DIMENSION：U_CATEGORY
ATTRIBUTE：ID
VALUE：ACT05",B0501-费用实际数查看表_区分管销研制-按成本中心列示（实际数手工调整）,"配置表信息：
U_ACCOUNT:HIE(TotalExpenses02)
U_CURRENCY:ID(CNY)
U_CUSTOMER:ID(CS_NONE)
U_ENTITY:HIE(GBG01_Total)
U_MATERIAL:ID(M_NONE)
U_MISC1:ID(MISC1_NONE)
U_MISC2:ID(MISC2_NONE)
U_PRODUCT:ID(PROD_NONE)
U_PROJECT:HIE(PJ_ALL)
U_SPARE1:ID(SP1_NONE)
U_SPARE2:ID(SP2_NONE)",2025-11-28 00:00:00,,已授权（生产环境）,陈迎颖,李朝中,,稍等,,,,,,,,,,
